cc W7-X op1.1 #20160309.010, 0.32s, conf. w7x-lim-op1_1 (standard), 2.0 MW X2 ECRH                                      
cc power scan: 2.0, 0.6, 1.2 MW (comp. #20160309.029 with conf. w7x-lim-op1_1_io12)                                     
cc profiles from file prfl_20160309.010_0.32.dat
c r/a,r[m],ne[10^20/m^3],ni[10^20/m^3],Te[keV],Ti[keV],Er[kV/m],Zeff,F[10^21/s],Q[MW]
  0.5051  0.2576  0.1512  0.1512  2.0727  0.9475 -0.9903  1.0010  0.1531  0.4307
  0.5152  0.2627  0.1500  0.1500  1.9929  0.9355 -1.2186  1.0010  0.1375  0.3734
  0.5253  0.2679  0.1487  0.1487  1.9165  0.9233 -1.4690  1.0010  0.1237  0.3244
  0.5354  0.2730  0.1473  0.1473  1.8432  0.9107 -1.7406  1.0010  0.1113  0.2823
  0.5455  0.2782  0.1458  0.1458  1.7731  0.8979 -2.0248  1.0010  0.1003  0.2464
  0.5556  0.2833  0.1442  0.1442  1.7060  0.8848 -2.3087  1.0010  0.0907  0.2159
  0.5657  0.2885  0.1425  0.1425  1.6418  0.8714 -2.5925  1.0010  0.0822  0.1899
  0.5758  0.2936  0.1408  0.1408  1.5803  0.8577 -2.8752  1.0010  0.0748  0.1678
  0.5859  0.2988  0.1389  0.1389  1.5216  0.8438 -3.1566  1.0010  0.0682  0.1489
  0.5960  0.3039  0.1370  0.1370  1.4653  0.8296 -3.4315  1.0010  0.0624  0.1325
  0.6061  0.3091  0.1350  0.1350  1.4116  0.8152 -3.6934  1.0010  0.0573  0.1188
  0.6162  0.3142  0.1328  0.1328  1.3601  0.8006 -3.9501  1.0010  0.0528  0.1069
  0.6263  0.3194  0.1306  0.1306  1.3109  0.7857 -4.1878  1.0010  0.0488  0.0966
  0.6364  0.3245  0.1283  0.1283  1.2638  0.7706 -4.4131  1.0010  0.0452  0.0875
  0.6465  0.3297  0.1259  0.1259  1.2186  0.7552 -4.6283  1.0010  0.0421  0.0796
  0.6566  0.3348  0.1233  0.1233  1.1754  0.7397 -4.8321  1.0010  0.0393  0.0726
  0.6667  0.3400  0.1207  0.1207  1.1340  0.7239 -5.0219  1.0010  0.0367  0.0664
  0.6768  0.3452  0.1180  0.1180  1.0942  0.7080 -5.1967  1.0010  0.0344  0.0609
  0.6869  0.3503  0.1152  0.1152  1.0559  0.6918 -5.3574  1.0010  0.0324  0.0559
  0.6970  0.3555  0.1123  0.1123  1.0191  0.6755 -5.5043  1.0010  0.0305  0.0515
  0.7071  0.3606  0.1093  0.1093  0.9836  0.6590 -5.6399  1.0010  0.0287  0.0474
  0.7172  0.3658  0.1063  0.1063  0.9494  0.6423 -5.7566  1.0010  0.0271  0.0437
  0.7273  0.3709  0.1032  0.1032  0.9162  0.6255 -5.8628  1.0010  0.0257  0.0404
  0.7374  0.3761  0.1001  0.1001  0.8841  0.6085 -5.9569  1.0010  0.0243  0.0373
  0.7475  0.3812  0.0970  0.0970  0.8528  0.5913 -6.0391  1.0010  0.0231  0.0345
  0.7576  0.3864  0.0938  0.0938  0.8223  0.5740 -6.1098  1.0010  0.0219  0.0319
  0.7677  0.3915  0.0906  0.0906  0.7924  0.5566 -6.1695  1.0010  0.0208  0.0294
  0.7778  0.3967  0.0873  0.0873  0.7631  0.5391 -6.2184  1.0010  0.0198  0.0272
  0.7879  0.4018  0.0841  0.0841  0.7342  0.5214 -6.2567  1.0010  0.0188  0.0250
  0.7980  0.4070  0.0809  0.0809  0.7057  0.5036 -6.2844  1.0010  0.0178  0.0230
  0.8081  0.4121  0.0776  0.0776  0.6774  0.4857 -6.3029  1.0010  0.0169  0.0212
  0.8182  0.4173  0.0744  0.0744  0.6492  0.4677 -6.3121  1.0010  0.0160  0.0194
  0.8283  0.4224  0.0713  0.0713  0.6214  0.4496 -6.3103  1.0010  0.0150  0.0176
